ELBO , AEXCES , REAL , 1
ELBO , LEXCES , REAL , 1
ELBO , LOOS , LOGICAL , 1
ELBO , UDATAB , INTEGER , 1000
ELBO , UDAFTB , REFERENCE , 1000
ELBO , UDASTB , TEXT , 1000
ELBO , SLODIR , REAL , 30
ELBO , :ISOSHIPCOORD , TEXT , 120
ELBO , :CutLength , REAL , 1
ELBO , :PFILoose , TEXT , 5
ELBO , :PFILExcess , TEXT , 10
ELBO , :PFIAExcess , TEXT , 10
ELBO , :NodeType , REAL , 6
ELBO , :NodeGap , REAL , 6
ELBO , :NodeStiff , REAL , 6
ELBO , :NodeFriction , REAL , 6
ELBO , :PSILineNum , TEXT , 20
ELBO , :PSILineColor , REAL , 1
ELBO , :PSILineVisib , REAL , 1
ELBO , :PSIWEIGHT , REAL , 1
ELBO , :MDSComment , TEXT , 120
ELBO , :MDSCp1 , TEXT , 120
ELBO , :MDSCp2 , TEXT , 120
ELBO , :MDSCp3 , TEXT , 120
ELBO , :MDSTrunNote1 , TEXT , 120
ELBO , :MDSTrunNote2 , TEXT , 120
ELBO , :MDSTubeNote1 , TEXT , 120
ELBO , :MDSTubeNote2 , TEXT , 120
ELBO , :MDSVprmMto , LOGICAL , 1
TUBI , :HXYsize , REAL , 2
TUBI , :TXYsize , REAL , 2
TUBI , :MDSComment , TEXT , 120
TUBI , :MDSCplWeight , REAL , 1
TUBI , :MDSMatRef , REFERENCE , 1
TUBI , :MDSPosNum , REAL , 8
TUBI , :MDSVprmMto , LOGICAL , 1
TEE , UDTYPE , INTEGER , 1
TEE , TYPEX , INTEGER , 1
TEE , NAME , TEXT , 500
TEE , POS , POSITION , 3
TEE , ORI , ORIENTATION , 3
TEE , UNIPAR , WORD , 100
TEE , DESP , REAL , 100
TEE , BUIL , LOGICAL , 1
TEE , SHOP , LOGICAL , 1
TEE , ISOHIDDEN , LOGICAL , 1
TEE , SPRE , REFERENCE , 1
TEE , LSTU , REFERENCE , 1
TEE , ARRI , INTEGER , 1
TEE , LEAV , INTEGER , 1
TEE , ORIF , LOGICAL , 1
TEE , POSF , LOGICAL , 1
TEE , ISPE , REFERENCE , 1
TEE , TSPE , REFERENCE , 1
TEE , ANGL , REAL , 1
TEE , HEIG , REAL , 1
TEE , RADI , REAL , 1
TEE , LOFF , LOGICAL , 1
TEE , CREF , REFERENCE , 1
TEE , SPAM , INTEGER , 1
TEE , WDATUM , INTEGER , 6
TEE , SPAM , INTEGER , 1
TEE , CSFBR , LOGICAL , 1
TEE , TSFBR , LOGICAL , 1
TEE , ASFBR , LOGICAL , 1
